name,location,price_in_lakhs,area_in_sqft,bhk,has_rating
happy homes,kolathur,85.83,1162,3,0
snd sai swaraj,velachery,105.0,1400,3,0
prince courtyard,egmore,443.0,2110,3,0
s and p the address,"mambakkam, vandalur kelambakkam road",220.00000000000003,1500,3,0
panayur,ganallur,150.0,2250,3,0
grn east avenue,korattur,155.0,1405,3,0
athanur village,urapakkam,85.0,950,2,0
"choolai, chennai, chennai central",choolai,299.0,1248,4,0
plaza serene acres,"ayaganagar, thoraipakkam",135.0,1496,3,0
shrusti vedanshi,velachery,160.0,975,2,0
"aishwarya apartments, vadapalani","kumaran colony, gst road",52.0,640,2,0
"mannivakkam, chennai, chennai south",mannivakkam,185.0,2400,2,0
priyam,"maya nagar stage 2 extension, sri iyappa nagar",222.00000000000003,2700,4,0
"nemilichery, chromepet, chennai south","nemilichery, chromepet",180.0,1690,5,0
dac manapark,manapakkam,110.00000000000001,1405,2,0
"rayan homes, nanmangalam",kovilambakkam,32.5,540,1,0
"palm revira,",thirumudivakkam,118.0,1913,4,0
jains advaya,kovur,85.0,1279,3,0
vinayaga flats,ambattur,45.0,1020,2,0
"vandalur kelambakkam road, chennai, chennai south",vandalur kelambakkam road,300.0,4800,6,0
palm riveria,thirumudivakkam,45.0,900,1,0
athanur village,urapakkam,95.0,1375,3,0
rahul shrikrupa,"vijayalakshmi puram, ambattur",41.0,700,2,0
blossom apartment,keelkattalai,60.0,826,2,0
"moulivakkam, chennai, chennai west",moulivakkam,120.0,880,6,0
radiance sapphire,ganallur,139.0,1346,3,0
snd sai swaraj,pallikaranai,105.0,1400,3,0
"valasaravakkam, chennai, chennai west",valasaravakkam,250.0,1085,3,0
ssm nagar housing complex,"new perungalathur, perungalathur",60.0,1021,2,0
raghav ram nivas,nanmangalam,60.0,980,2,0
appaswamy platina,porur,220.00000000000003,1708,3,1
sai mithra apartments,rajakilpakkam,142.0,1734,3,0
altis oceanique,ecr,185.0,1633,3,0
"62nd street, 10th sector","kk nagar, gst road",175.0,880,5,0
"perumbakkam, chennai, chennai south",perumbakkam,270.0,1500,5,0
"senneer kuppam, chennai, chennai west",senneer kuppam,265.0,2736,2,0
vijay shanthi nithyanand sagar apartment,perambur,66.0,875,2,0
engineers richmond court,sembakkam,58.0,950,2,0
shri vana durga apartment,madambakkam,28.0,617,1,0
"sendurpuram, kattupakkam, chennai west","sendurpuram, kattupakkam",135.0,856,3,0
silver palm apartments,padi,71.68,1024,3,0
vasantham apartment,perambur,65.0,851,2,0
heritage venkateshwara nagar,"karambakkam, porur",280.0,1789,3,0
suraj enclave,"ayyappa nagar, sadasivam nagar, sembakkam",70.0,1200,3,0
casagrand luxeria,navalur,235.0,2241,4,0
jains advaya,kovur,80.0,1184,3,0
"kannivakkam, chennai, chennai south",kannivakkam,115.99999999999999,1100,3,0
jayam gangailakshmi homes,ivasa nagar new perungalathur,75.0,1350,3,0
casagrand athens,mogappair,90.0,613,2,0
rl royal homes,"mettukuppam, thoraipakkam",99.0,940,2,0
nest spectra,ganallur,38.0,565,1,0
on request,madipakkam,101.0,1350,3,0
eta globevill,sriperumbudur,60.0,1302,3,0
thirumaaligais kailash,pallikaranai,105.0,1436,3,0
arun excello town house,oragadam,89.0,1005,3,0
cc sri ranga apartments,east tambaram,58.0,902,2,0
"guduvancheri, chennai, chennai south",guduvancheri,120.0,1200,3,0
radiance suprema,madhavaram,96.0,1102,2,0
on request,"agaramthen, vandalur kelambakkam road",33.3,665,2,0
venki apartment,"kallikuppam, ambattur",64.97,883,2,0
venture allset castle,kottivakkam,165.0,1504,3,0
rohinimap apartment,"veerabhadra nagar, medavakkam",95.0,1431,3,0
"kodambakkam, gst road, chennai south","kodambakkam, gst road",125.0,940,2,0
"mudichur, chennai, chennai south",mudichur,265.0,5300,9,0
snd sai swaraj,pallikaranai,101.0,1350,3,0
srb coral house,perambur,82.0,752,3,0
emerald green hills,perungalathur,59.71,963,2,0
vishranthi coconut grove,velachery,300.0,1748,3,0
srb smily house,perambur,94.5,1260,3,0
viva city,arungal,20.0,426,1,0
"kovur, chennai, chennai west",kovur,307.0,3600,6,0
apartment,"kathirvedu, puzhal",85.0,870,2,0
srb coral house,perambur,80.0,1068,3,0
rc adena,thirumullaivoyal,45.0,820,2,0
snd sai swaraj,velachery,101.0,1350,3,0
on request,"padhuvancherry, madambakkam",35.0,702,2,0
"west kamakoti nagar, valasaravakkam, chennai west","west kamakoti nagar, valasaravakkam",450.0,1700,5,0
green apple flats,"ags colony, velachery",89.5,874,2,0
shree varu homes gruham,"alagiri nagar, gst road",151.0,1260,3,0
tvs emerald greenacres,"kolapakkam,vandalur kelambakkam road",95.0,1275,3,1
srb coral house,perambur,84.0,928,3,0
prem enclave,valasaravakkam,92.52,983,2,0
lakshmi apartment,"karthikeyapuram, madipakkam",95.0,1331,3,0
"kayarambedu, chennai, chennai south",kayarambedu,124.0,1200,3,0
shri vana durga apartment,madambakkam,60.0,1241,2,0
apartment,"saligramam, arcot road",99.0,1038,2,0
partha enclave,iyyappanthangal,47.62,548,1,0
